frame,x_min,y_min,x_max,y_max
"[[[ 10  20  24]
  [ 12  22  26]
  [ 14  24  28]
  ...
  [177 188 196]
  [178 189 197]
  [180 191 199]]

 [[ 12  22  26]
  [ 12  22  26]
  [ 14  24  28]
  ...
  [177 188 196]
  [178 189 197]
  [180 191 199]]

 [[ 12  22  26]
  [ 13  23  27]
  [ 12  25  28]
  ...
  [177 188 196]
  [178 189 197]
  [180 191 199]]

 ...

 [[  3  22  26]
  [  3  22  26]
  [  5  24  28]
  ...
  [ 21  45  53]
  [ 19  43  51]
  [ 14  38  46]]

 [[  3  22  26]
  [  3  22  26]
  [  7  26  30]
  ...
  [ 21  45  53]
  [ 20  44  52]
  [ 18  42  50]]

 [[  3  22  26]
  [  3  22  26]
  [ 15  34  38]
  ...
  [ 21  45  53]
  [ 20  44  52]
  [ 20  44  52]]]",136,38,324,360
"[[[  8  23  26]
  [ 10  25  28]
  [ 18  36  38]
  ...
  [173 186 194]
  [173 186 194]
  [173 186 194]]

 [[  9  24  27]
  [  9  27  29]
  [ 15  33  35]
  ...
  [173 186 194]
  [173 186 194]
  [173 186 194]]

 [[ 10  27  31]
  [ 13  31  33]
  [ 13  32  36]
  ...
  [173 186 194]
  [173 186 194]
  [173 186 194]]

 ...

 [[  1  27  28]
  [  5  32  33]
  [  5  32  33]
  ...
  [ 21  47  50]
  [ 18  44  47]
  [ 15  41  44]]

 [[  2  29  30]
  [  3  30  31]
  [  4  31  32]
  ...
  [ 21  47  50]
  [ 19  45  48]
  [ 19  45  48]]

 [[  2  29  30]
  [  3  30  31]
  [  4  31  32]
  ...
  [ 21  47  50]
  [ 20  46  49]
  [ 20  46  49]]]",138,31,327,360
"[[[  2  26  29]
  [  6  27  31]
  [  9  29  36]
  ...
  [174 192 199]
  [174 192 199]
  [174 192 199]]

 [[  1  22  26]
  [  6  27  31]
  [ 10  30  37]
  ...
  [176 192 199]
  [176 192 199]
  [176 192 199]]

 [[  1  20  24]
  [  7  26  30]
  [  9  29  36]
  ...
  [176 192 199]
  [176 192 199]
  [176 192 199]]

 ...

 [[  0  23  24]
  [  6  31  32]
  [  1  25  28]
  ...
  [ 25  41  48]
  [ 22  38  45]
  [ 23  36  44]]

 [[  4  29  30]
  [  3  28  29]
  [  1  25  28]
  ...
  [ 24  40  47]
  [ 20  36  43]
  [ 20  33  41]]

 [[  4  29  30]
  [  3  28  29]
  [  1  25  28]
  ...
  [ 20  36  43]
  [ 16  32  39]
  [ 17  30  38]]]",135,32,328,360
"[[[  8  27  26]
  [ 13  29  29]
  [ 16  31  34]
  ...
  [176 192 199]
  [176 192 199]
  [176 192 199]]

 [[  7  23  23]
  [ 12  28  28]
  [ 16  31  34]
  ...
  [178 191 199]
  [178 191 199]
  [178 191 199]]

 [[  7  21  21]
  [ 13  27  27]
  [ 16  31  34]
  ...
  [178 191 199]
  [178 191 199]
  [178 191 199]]

 ...

 [[  7  29  31]
  [  4  25  29]
  [  0  24  27]
  ...
  [ 12  47  51]
  [  5  40  44]
  [  0  34  38]]

 [[  5  27  29]
  [  4  25  29]
  [  1  24  27]
  ...
  [ 21  49  54]
  [ 10  38  43]
  [  9  37  42]]

 [[  5  27  29]
  [  4  25  29]
  [  1  25  28]
  ...
  [ 21  44  50]
  [ 15  38  44]
  [ 15  38  44]]]",137,38,329,360
"[[[ 12  25  28]
  [ 13  27  32]
  [ 13  30  34]
  ...
  [177 190 193]
  [177 190 193]
  [177 190 193]]

 [[ 12  26  31]
  [ 15  29  34]
  [ 14  31  35]
  ...
  [177 190 193]
  [177 190 193]
  [177 190 193]]

 [[  7  24  28]
  [ 10  27  31]
  [ 10  27  31]
  ...
  [177 190 193]
  [177 190 193]
  [177 190 193]]

 ...

 [[  4  26  28]
  [  2  23  27]
  [  3  24  28]
  ...
  [ 33  43  42]
  [ 35  45  44]
  [ 36  46  45]]

 [[ 11  33  35]
  [ 17  38  42]
  [  4  25  29]
  ...
  [ 24  34  33]
  [ 22  32  31]
  [ 30  40  39]]

 [[ 19  41  43]
  [  9  30  34]
  [  5  26  30]
  ...
  [ 19  29  28]
  [ 22  32  31]
  [ 30  40  39]]]",139,45,330,357
"[[[  8  26  28]
  [  9  28  32]
  [  9  30  34]
  ...
  [179 191 196]
  [180 192 197]
  [180 192 197]]

 [[  8  27  31]
  [ 11  30  34]
  [ 10  31  35]
  ...
  [179 191 196]
  [180 192 197]
  [180 192 197]]

 [[  3  24  28]
  [  6  27  31]
  [  6  27  31]
  ...
  [179 191 196]
  [179 191 196]
  [179 191 196]]

 ...

 [[  7  23  30]
  [ 10  24  29]
  [  9  24  27]
  ...
  [ 24  39  37]
  [ 22  39  37]
  [ 23  40  38]]

 [[  8  24  31]
  [ 13  27  32]
  [ 10  25  28]
  ...
  [ 21  36  34]
  [ 11  28  26]
  [ 15  32  30]]

 [[ 14  30  37]
  [ 10  24  29]
  [  9  24  27]
  ...
  [ 22  37  35]
  [ 16  33  31]
  [ 20  37  35]]]",139,46,333,360
"[[[  0  23  31]
  [  1  25  33]
  [  2  32  39]
  ...
  [179 191 196]
  [180 192 197]
  [180 192 197]]

 [[  0  22  30]
  [  1  24  32]
  [  2  32  39]
  ...
  [179 191 196]
  [180 192 197]
  [180 192 197]]

 [[  0  22  28]
  [  0  24  30]
  [  2  33  38]
  ...
  [179 191 196]
  [179 191 196]
  [179 191 196]]

 ...

 [[  7  24  28]
  [  7  24  28]
  [  7  24  28]
  ...
  [ 17  32  41]
  [ 17  32  41]
  [ 12  27  36]]

 [[  7  24  28]
  [  7  24  28]
  [  7  24  28]
  ...
  [ 15  30  39]
  [ 17  32  41]
  [ 12  27  36]]

 [[  7  24  28]
  [  7  24  28]
  [  7  24  28]
  ...
  [ 15  30  39]
  [ 17  32  41]
  [ 12  27  36]]]",141,42,337,360
"[[[  0  23  31]
  [  1  25  33]
  [  6  37  44]
  ...
  [179 191 196]
  [179 191 196]
  [179 191 196]]

 [[  0  22  30]
  [  1  25  33]
  [  5  36  43]
  ...
  [179 191 196]
  [179 191 196]
  [179 191 196]]

 [[  0  22  28]
  [  1  25  31]
  [  3  35  40]
  ...
  [179 191 196]
  [179 191 196]
  [179 191 196]]

 ...

 [[  0  31  38]
  [  0  31  38]
  [  0  30  37]
  ...
  [ 34  41  52]
  [ 32  39  50]
  [ 30  35  46]]

 [[  0  31  38]
  [  0  31  38]
  [  0  30  37]
  ...
  [ 34  41  52]
  [ 33  40  51]
  [ 32  37  48]]

 [[  0  31  38]
  [  0  31  38]
  [  0  30  37]
  ...
  [ 33  40  51]
  [ 35  40  51]
  [ 34  39  50]]]",147,47,340,359
"[[[  2  24  32]
  [  2  29  36]
  [  7  38  47]
  ...
  [183 190 196]
  [183 190 196]
  [183 190 196]]

 [[  3  25  33]
  [  4  31  38]
  [  7  38  47]
  ...
  [183 190 196]
  [183 190 196]
  [183 190 196]]

 [[  5  28  34]
  [  7  35  40]
  [  6  37  44]
  ...
  [183 190 196]
  [183 190 196]
  [183 190 196]]

 ...

 [[  8  25  34]
  [  7  24  33]
  [  6  23  32]
  ...
  [  2  43  48]
  [  5  46  51]
  [  7  48  53]]

 [[  8  25  34]
  [  7  24  33]
  [  6  23  32]
  ...
  [  0  43  48]
  [  1  44  49]
  [  2  48  52]]

 [[  8  25  34]
  [  7  24  33]
  [  6  23  32]
  ...
  [  0  43  47]
  [  0  43  47]
  [  0  45  49]]]",155,50,343,360
"[[[ 14  19  30]
  [ 16  26  36]
  [ 24  39  50]
  ...
  [183 190 196]
  [183 190 196]
  [183 190 196]]

 [[ 15  20  31]
  [ 17  27  37]
  [ 22  37  48]
  ...
  [183 190 196]
  [183 190 196]
  [183 190 196]]

 [[ 18  24  33]
  [ 19  30  38]
  [ 19  34  43]
  ...
  [183 190 196]
  [183 190 196]
  [183 190 196]]

 ...

 [[  7  24  28]
  [  7  24  28]
  [  7  24  28]
  ...
  [ 11  42  49]
  [  9  40  47]
  [  9  40  47]]

 [[  7  24  28]
  [  7  24  28]
  [  7  24  28]
  ...
  [ 11  42  49]
  [  9  40  47]
  [  9  40  47]]

 [[  7  24  28]
  [  7  24  28]
  [  7  24  28]
  ...
  [ 11  42  49]
  [  9  40  47]
  [  9  40  47]]]",150,50,350,358
"[[[ 11  23  33]
  [ 12  29  38]
  [ 18  40  50]
  ...
  [177 191 196]
  [175 189 194]
  [175 189 194]]

 [[ 10  22  32]
  [ 13  30  39]
  [ 16  38  48]
  ...
  [177 191 196]
  [175 189 194]
  [175 189 194]]

 [[ 11  24  32]
  [ 13  31  38]
  [ 13  35  43]
  ...
  [175 189 194]
  [177 191 196]
  [177 191 196]]

 ...

 [[  0  34  35]
  [  0  34  35]
  [  0  33  34]
  ...
  [  7  41  47]
  [  6  40  46]
  [  5  39  45]]

 [[  0  33  34]
  [  0  33  34]
  [  0  32  33]
  ...
  [  8  42  48]
  [  7  41  47]
  [  6  40  46]]

 [[  0  33  34]
  [  0  33  34]
  [  0  32  33]
  ...
  [  9  43  49]
  [  7  41  47]
  [  7  41  47]]]",158,50,354,358
"[[[  8  28  35]
  [  8  33  39]
  [  9  38  45]
  ...
  [177 191 196]
  [175 189 194]
  [175 189 194]]

 [[  9  27  34]
  [ 11  31  38]
  [  8  36  41]
  ...
  [175 189 194]
  [177 191 196]
  [177 191 196]]

 [[  8  25  29]
  [  8  29  33]
  [  6  31  37]
  ...
  [175 189 194]
  [177 191 196]
  [178 192 197]]

 ...

 [[  0  33  34]
  [  0  33  34]
  [  0  33  34]
  ...
  [ 17  37  44]
  [ 16  36  43]
  [ 15  35  42]]

 [[  0  33  34]
  [  0  33  34]
  [  0  33  34]
  ...
  [ 16  36  43]
  [ 16  36  43]
  [ 16  36  43]]

 [[  0  30  31]
  [  0  30  31]
  [  0  29  30]
  ...
  [ 15  35  42]
  [ 16  36  43]
  [ 17  37  44]]]",164,50,356,356
"[[[  6  28  36]
  [  7  34  41]
  [  7  38  47]
  ...
  [178 192 197]
  [178 192 197]
  [178 192 197]]

 [[  6  25  34]
  [  9  31  39]
  [  5  34  41]
  ...
  [178 192 197]
  [178 192 197]
  [178 192 197]]

 [[  6  24  31]
  [  5  28  34]
  [  3  30  37]
  ...
  [177 191 196]
  [177 191 196]
  [177 191 196]]

 ...

 [[  5  23  30]
  [  5  23  30]
  [  6  24  31]
  ...
  [  8  39  41]
  [  8  39  41]
  [  8  39  41]]

 [[  6  24  31]
  [  6  24  31]
  [  7  25  32]
  ...
  [  7  38  40]
  [  7  38  40]
  [  8  39  41]]

 [[  6  24  31]
  [  6  24  31]
  [  7  25  32]
  ...
  [  6  37  39]
  [  7  38  40]
  [  8  39  41]]]",168,48,358,354
"[[[  6  28  36]
  [  7  34  41]
  [  6  37  46]
  ...
  [185 190 196]
  [185 190 196]
  [185 190 196]]

 [[  6  25  34]
  [  8  30  38]
  [  4  33  40]
  ...
  [185 190 196]
  [186 191 197]
  [186 191 197]]

 [[  6  24  31]
  [  5  28  34]
  [  5  29  37]
  ...
  [185 190 196]
  [186 191 197]
  [187 192 198]]

 ...

 [[  5  24  28]
  [  5  24  28]
  [  5  24  28]
  ...
  [ 22  43  47]
  [ 24  45  49]
  [ 19  40  44]]

 [[  5  24  28]
  [  5  24  28]
  [  5  24  28]
  ...
  [ 16  45  47]
  [ 19  48  50]
  [ 13  42  44]]

 [[  5  24  28]
  [  5  24  28]
  [  5  24  28]
  ...
  [ 12  45  47]
  [ 15  48  50]
  [  9  42  44]]]",171,51,364,352
"[[[ 15  28  36]
  [ 14  30  37]
  [ 15  34  43]
  ...
  [180 192 197]
  [180 192 197]
  [180 192 197]]

 [[ 10  21  29]
  [ 11  24  32]
  [ 10  28  35]
  ...
  [180 192 197]
  [180 192 197]
  [180 192 197]]

 [[  6  15  21]
  [ 10  22  27]
  [ 11  27  34]
  ...
  [180 192 197]
  [180 192 197]
  [180 192 197]]

 ...

 [[  7  23  30]
  [  7  23  30]
  [  8  24  31]
  ...
  [ 11  34  40]
  [  8  31  37]
  [  8  31  37]]

 [[  8  24  31]
  [  8  24  31]
  [  9  25  32]
  ...
  [  8  31  37]
  [  6  29  35]
  [  4  27  33]]

 [[  8  24  31]
  [  8  24  31]
  [  9  25  32]
  ...
  [  7  30  36]
  [  4  27  33]
  [  3  26  32]]]",166,51,369,349
"[[[  6  31  37]
  [  6  36  41]
  [  8  40  45]
  ...
  [177 189 194]
  [179 191 196]
  [179 191 196]]

 [[  4  29  35]
  [  4  34  39]
  [  8  40  45]
  ...
  [177 189 194]
  [177 189 194]
  [177 189 194]]

 [[  2  26  32]
  [  3  33  38]
  [  6  38  43]
  ...
  [177 189 194]
  [177 189 194]
  [177 189 194]]

 ...

 [[  4  25  29]
  [  4  25  29]
  [  5  26  30]
  ...
  [ 28  28  35]
  [ 25  25  32]
  [ 26  26  33]]

 [[  4  25  29]
  [  4  25  29]
  [  5  26  30]
  ...
  [ 27  27  34]
  [ 27  27  34]
  [ 29  29  36]]

 [[  4  25  29]
  [  4  25  29]
  [  5  26  30]
  ...
  [ 29  29  36]
  [ 30  30  37]
  [ 25  25  32]]]",178,49,375,357
"[[[  3  26  32]
  [  4  32  37]
  [ 10  40  45]
  ...
  [176 188 193]
  [176 188 193]
  [176 188 193]]

 [[  4  29  32]
  [  5  33  38]
  [  8  38  43]
  ...
  [177 189 194]
  [176 188 193]
  [176 188 193]]

 [[  5  33  38]
  [  8  36  41]
  [ 10  38  43]
  ...
  [179 191 196]
  [180 192 197]
  [180 192 197]]

 ...

 [[  4  24  31]
  [  4  24  31]
  [  5  25  32]
  ...
  [ 40  23  31]
  [ 40  23  31]
  [ 24  27  32]]

 [[  4  24  31]
  [  4  24  31]
  [  5  25  32]
  ...
  [ 40  23  31]
  [ 42  25  33]
  [ 34  37  42]]

 [[  4  24  31]
  [  4  24  31]
  [  5  25  32]
  ...
  [ 41  24  32]
  [ 45  28  36]
  [ 29  32  37]]]",178,50,379,356
"[[[  0  36  34]
  [  0  38  36]
  [  0  38  36]
  ...
  [174 188 193]
  [174 188 193]
  [174 188 193]]

 [[  0  33  32]
  [  1  39  38]
  [  3  45  43]
  ...
  [174 188 193]
  [174 188 193]
  [174 188 193]]

 [[  0  32  31]
  [  1  39  38]
  [  5  47  45]
  ...
  [175 189 194]
  [175 189 194]
  [175 189 194]]

 ...

 [[  0  27  28]
  [  0  27  28]
  [  0  26  27]
  ...
  [ 15  37  45]
  [ 15  37  45]
  [ 14  36  44]]

 [[  0  27  28]
  [  0  27  28]
  [  0  26  27]
  ...
  [ 14  36  44]
  [ 14  36  44]
  [ 14  36  44]]

 [[  0  27  28]
  [  0  27  28]
  [  0  26  27]
  ...
  [ 13  35  43]
  [ 12  34  42]
  [ 12  34  42]]]",182,53,385,357
"[[[  0  28  35]
  [  3  32  39]
  [  3  34  41]
  ...
  [184 191 197]
  [185 192 198]
  [185 192 198]]

 [[  3  27  35]
  [  7  34  41]
  [ 12  41  48]
  ...
  [182 189 195]
  [181 188 194]
  [181 188 194]]

 [[  4  28  36]
  [  8  35  42]
  [ 12  41  48]
  ...
  [181 188 194]
  [180 187 193]
  [180 187 193]]

 ...

 [[  0  27  28]
  [  0  27  28]
  [  0  27  28]
  ...
  [ 17  34  38]
  [ 17  34  38]
  [ 17  34  38]]

 [[  0  27  28]
  [  0  27  28]
  [  0  27  28]
  ...
  [ 15  32  36]
  [ 15  32  36]
  [ 16  33  37]]

 [[  0  27  28]
  [  0  27  28]
  [  0  27  28]
  ...
  [ 15  32  36]
  [ 13  30  34]
  [ 16  33  37]]]",189,53,387,356
"[[[ 15  30  39]
  [ 16  33  42]
  [ 12  36  44]
  ...
  [182 191 197]
  [188 197 203]
  [181 190 196]]

 [[ 18  28  38]
  [ 19  34  43]
  [ 17  41  49]
  ...
  [181 190 196]
  [180 189 195]
  [173 182 188]]

 [[ 20  27  38]
  [ 20  35  44]
  [ 18  40  48]
  ...
  [181 190 196]
  [180 189 195]
  [181 190 196]]

 ...

 [[  0  26  29]
  [  1  27  30]
  [  2  28  31]
  ...
  [ 22  38  45]
  [ 23  39  46]
  [ 24  40  47]]

 [[  0  26  29]
  [  1  27  30]
  [  2  28  31]
  ...
  [ 10  35  41]
  [  8  33  39]
  [  7  32  38]]

 [[  0  26  29]
  [  1  27  30]
  [  2  28  31]
  ...
  [  5  33  38]
  [  6  34  39]
  [  6  34  39]]]",195,53,388,357
"[[[ 24  29  40]
  [ 23  33  43]
  [ 12  36  44]
  ...
  [181 190 196]
  [189 198 204]
  [181 190 196]]

 [[ 23  28  39]
  [ 21  36  45]
  [ 13  42  49]
  ...
  [181 190 196]
  [181 190 196]
  [173 182 188]]

 [[ 12  29  38]
  [ 10  37  44]
  [  1  41  46]
  ...
  [181 190 196]
  [180 189 195]
  [180 189 195]]

 ...

 [[  2  25  31]
  [  2  25  31]
  [  2  25  31]
  ...
  [ 21  32  40]
  [ 22  33  41]
  [ 24  35  43]]

 [[  2  25  31]
  [  2  25  31]
  [  2  25  31]
  ...
  [ 22  33  41]
  [ 23  34  42]
  [ 24  35  43]]

 [[  2  25  31]
  [  2  25  31]
  [  2  25  31]
  ...
  [ 22  33  41]
  [ 23  34  42]
  [ 24  35  43]]]",203,52,391,355
"[[[  1  44  44]
  [  1  44  44]
  [  1  44  44]
  ...
  [178 195 199]
  [182 199 203]
  [174 191 195]]

 [[  0  42  40]
  [  0  42  40]
  [  0  40  38]
  ...
  [179 196 200]
  [177 194 198]
  [168 185 189]]

 [[  0  45  38]
  [  0  44  37]
  [  0  42  35]
  ...
  [180 197 201]
  [182 199 203]
  [182 199 203]]

 ...

 [[  6  26  33]
  [  6  26  33]
  [  6  26  33]
  ...
  [ 12  40  45]
  [ 14  42  47]
  [ 14  42  47]]

 [[  6  26  33]
  [  5  25  32]
  [  5  25  32]
  ...
  [ 12  40  45]
  [ 14  42  47]
  [ 16  44  49]]

 [[  5  25  32]
  [  5  25  32]
  [  5  25  32]
  ...
  [ 12  40  45]
  [ 14  42  47]
  [ 16  44  49]]]",206,52,392,355
"[[[ 18  28  25]
  [ 21  31  28]
  [ 28  38  35]
  ...
  [181 193 198]
  [182 194 199]
  [176 188 193]]

 [[ 20  30  27]
  [ 22  32  29]
  [ 28  38  35]
  ...
  [182 194 199]
  [181 193 198]
  [178 190 195]]

 [[ 23  37  37]
  [ 22  36  36]
  [ 26  40  40]
  ...
  [181 193 198]
  [181 193 198]
  [179 191 196]]

 ...

 [[ 12  26  31]
  [ 12  26  31]
  [ 14  28  33]
  ...
  [ 19  37  44]
  [ 18  36  43]
  [ 18  36  43]]

 [[ 10  24  29]
  [ 10  24  29]
  [ 11  25  30]
  ...
  [ 20  36  43]
  [ 19  35  42]
  [ 19  35  42]]

 [[  8  22  27]
  [  9  23  28]
  [ 10  24  29]
  ...
  [ 22  35  43]
  [ 21  34  42]
  [ 21  34  42]]]",208,50,396,357
